,min_char,max_char,letter,password,count,correct
146,10,19,g,svcsnlshppvrxzghhzg,2,False
147,3,8,d,dddwdzvmddd,7,True
148,3,5,m,kpmmjpmmmdz,5,False
149,13,14,n,nnnnnnnnnnnnns,13,False
150,3,8,b,bkbbbbbbbbbbbbbd,14,False
151,2,4,g,jghfggh,3,True
152,8,11,m,mmmmmmrmmmm,10,True
153,9,12,j,pbjjpjnjxjjfsjzsjps,8,False
154,6,7,r,rrrrrrrr,8,False
155,8,13,v,vvvvvvvbbvvvvvw,12,True
156,4,17,p,tpppppprzpspbpplppr,12,True
157,2,3,h,wbhhzxhllh,4,False
158,2,15,c,nvbcckcpccrtccwccsc,10,True
159,12,13,j,jjjjjjjjjjjzhj,12,False
160,4,10,p,dznzpnxzppl,3,False
161,5,8,r,jrrrsrrrrr,8,False
162,7,10,q,gjqjcqqqqsqfqqq,9,True
163,8,12,k,kkkkkkkkkkkg,11,True
164,3,14,m,mmtmmmmmmmmmmmmmm,16,False
165,3,12,t,khgttqtcltshttwqgt,7,True
166,14,15,b,bbbbbbbbbbbbbqb,14,False
167,14,15,f,fffqfmffpnffffg,10,False
168,5,16,j,jlghwmmrbdvdfjbj,3,False
169,7,8,v,vvkbvvrv,5,False
170,2,11,m,qmcgxcshgwmfm,3,True
171,11,12,m,cmmmzfmcmmzmmmmjmr,11,False
172,6,7,n,hnnbnnnw,5,False
173,4,8,m,mvdtmstm,3,False
174,4,7,m,bcrmmjbpmmmsdnrmm,7,False
175,1,4,w,wwwww,5,False
176,12,14,j,jjjjjjjjjjjrjhj,13,True
177,2,9,h,ghhczbhblx,3,True
178,2,11,v,vmvvvvvggvjpvchvvpc,10,True
179,6,7,f,ffwfflghpwfl,5,False
180,3,14,k,krkmjkgkzcckjbkkk,8,True
181,1,2,c,cfcp,2,False
182,15,17,z,ztzzzdzzzzzzzzzzt,14,False
183,4,13,p,bmrpdwphzqvppktz,4,False
184,4,5,j,jjvjtj,4,False
185,14,20,h,hvchvhhhhbhthlhhhhhh,14,False
186,1,3,j,kqjp,1,False
187,9,13,x,fsxxxkxxbpkxmhlrdtfx,7,False
188,13,14,w,wwpxwwwwwwgtwwcwwww,14,False
189,2,5,p,wppxkq,2,False
190,13,15,x,xxxzxxxbxxxxxxvxs,13,False
191,5,11,q,qvqqqqxqqqqfqqq,12,False
192,8,12,q,qqqqqqqvqqqq,11,True
193,8,10,m,mmmmmmmjmn,8,False
194,17,18,t,ttttrttttsttttttttt,17,False
195,9,13,h,hhhhhqhjlvhhqhhwh,11,True
196,8,9,s,ssssshsst,7,False
197,9,10,v,qvvtvsvcmzvvnpgvv,8,False
198,7,12,d,djcpndppsdddfdsdd,8,True
199,2,3,z,dgzwvbrzzbgw,3,False
200,1,4,k,kwkl,2,True
201,1,9,d,dkdmdsdwdzvlpv,5,True
202,10,11,h,hhhhhhhhhhh,11,False
203,9,10,f,ffffffffff,10,False
204,4,7,d,ssddddxp,4,False
205,18,19,j,jjjjjjjjjjjjjjjjjsj,18,False
206,7,11,m,mkmmrmmlrzsmgm,7,False
207,1,7,k,kkkkkkknk,8,False
208,4,5,w,wwwwj,4,False
209,6,13,s,xslmsfgsssssmslsstqd,10,True
210,4,5,z,zzzch,3,False
211,9,11,j,jjjjjjjjjjj,11,False
212,4,7,h,hjhhkdh,4,False
213,5,14,v,vvvvglvvdvvvvv,11,True
214,5,6,q,shqnjdqqq,4,False
215,1,5,q,dqqqq,4,True
216,5,7,z,zzznzzz,6,True
217,5,9,s,vwsfsxssd,4,False
218,4,5,f,sffffv,4,False
219,5,7,b,xllbbdb,3,False
220,1,14,j,rtzjqkpnkjlrhjcjqj,5,True
221,8,10,w,wwwwwwwfwxz,8,False
222,3,6,g,sggtlggswf,4,True
223,11,14,n,nnbnnncnnsgnnmknn,11,False
224,6,15,c,cclcnccctcrcxqmd,8,True
225,5,8,l,lmllxwpl,4,False
226,4,11,p,pppppppcpkdp,9,True
227,1,4,w,zwwx,2,True
228,1,3,g,nlfpgfzqkzn,1,False
229,11,12,w,vbwwgwvwrwlwwmwwwjw,11,False
230,4,12,j,vzfjgjrkzdrxqfh,2,False
231,1,2,r,frrq,2,False
232,1,4,k,vkkkkk,5,False
233,11,13,d,pndlftgdpdhld,4,False
234,1,4,r,prrvrrrrfrrrrr,11,False
235,8,9,m,fmmxmmmmmmm,9,False
236,1,2,x,xcpxc,2,False
237,4,16,n,rhbndvjnnsnfnwnnm,7,True
238,2,10,g,fkzwxtqmgm,1,False
239,11,19,p,bpppqpppppplpppphpsr,14,True
240,9,13,g,ggggthggggpjgqgslggq,12,True
241,4,5,m,mzmmxcfwmdpz,4,False
242,2,13,t,tttttttptttts,11,True
243,3,7,q,qqvqqqcqq,7,False
244,6,9,j,jsjjjjccjwjcjjj,10,False
245,7,10,r,rdlrrrrrrr,8,True
246,9,12,r,wrrzsrcrgcbrhqvrhlp,6,False
247,6,7,j,jjxjjzhxj,5,False
248,6,7,m,mmmmmmmm,8,False
249,1,3,m,mldvdmxmbk,3,False
250,10,11,f,ffffnffffkqf,9,False
251,5,17,f,ffffsfffftfffkffn,13,True
252,4,5,b,fbwbhvx,2,False
253,14,16,g,ggggggggthgggggsvd,13,False
254,2,3,s,cvsbw,1,False
255,5,10,g,qltgnfghgcrgpnzdsvng,5,False
256,5,6,p,ppjbpnppxg,5,False
257,3,8,j,lgjrzwdvdnwvrnj,2,False
258,2,4,c,cdcc,3,True
259,6,7,l,llflrhlllgklh,7,False
260,1,2,p,tppp,3,False
261,16,17,g,gggggggvggggggggg,16,False
262,3,14,f,fhfdffftfbggpkfgf,8,True
263,16,18,b,bbbbbbbbbbbbbbbbbbbb,20,False
264,5,10,v,thqvvkvlwvdvjzzst,5,False
265,13,14,p,ppppppppppppptc,13,False
266,11,14,t,tkttczttttsttmcnltm,10,False
267,3,4,w,nvxl,0,False
268,4,6,f,fpflfwftk,4,False
269,4,6,h,xhhhhh,5,True
270,15,17,t,tttttttttttttttlv,15,False
271,10,17,j,jjjjjjjjjsjjjjjjd,15,True
272,2,4,s,jcgs,1,False
273,7,9,q,qsqqjhqndsqkqqpvqqr,9,False
274,2,3,p,tnpplcmdpfn,3,False
275,2,5,c,crvmk,1,False
276,1,7,d,tsmzcgddnddddrdxsq,7,False
277,8,9,c,rlfcpctpncv,3,False
278,6,9,f,tkzfhffdf,4,False
279,13,15,s,sssmsscfvsssdsg,9,False
280,6,8,s,ssjsssjrscsss,9,False
281,7,10,f,fffffffkfff,10,False
282,1,6,k,jqtdhpknkkk,4,True
283,11,12,t,tttttttttttf,11,False
284,9,16,d,swjbddfpfbntmprdd,4,False
285,18,19,v,dvvvvvvvvvvvvvvvkvvv,18,False
286,2,5,j,kjjcqjj,4,True
287,11,12,d,dddddddcddld,10,False
288,14,16,f,fffffffffffffffk,15,True
289,4,7,x,nxxxxxxn,6,True
290,10,18,p,pppppppppppppppppr,17,True
291,8,9,k,ktkjkkkkfvklkz,8,False
292,9,15,h,hhhhhhhhchhhhhhhhh,17,False
293,18,19,v,hvkvvvvvvvvvvvvvvqc,15,False
294,1,8,s,xzbxgsxshgl,2,True
295,2,6,p,ppsjpglptchpzbdhj,5,True
296,6,7,n,nnnnnnnc,7,False
297,2,7,j,jhtjjjjj,6,True
298,11,12,b,vnblqbxkbbwb,5,False
299,4,5,z,czzzcztsz,5,False
300,4,9,x,wxpvxxxfxfxx,7,True
301,9,12,w,wwwwwwwwwgwwww,13,False
302,2,5,k,cntkkq,2,False
303,10,12,l,vljplljlllllllll,12,False
304,1,4,t,tfmvst,2,True
305,6,7,d,rddddddwd,7,False
306,2,6,h,bhvwhl,2,False
307,5,8,c,ccsgccncwgjtcbhccckk,9,False
308,5,6,r,rrrrmr,5,False
309,3,8,h,hcrhhjrbhh,5,True
310,2,4,s,xndshswk,2,False
311,2,7,m,mmrqmmlp,4,True
312,7,9,n,nnnbfpmnfnknxnndn,9,False
313,6,7,f,fvffffb,5,False
314,6,8,h,vhhhhhtk,5,False
315,6,7,j,jjjjjwjjs,7,False
316,1,5,r,rwrrrr,5,False
317,3,4,t,tlzk,1,False
318,2,7,k,kkkkkkk,7,False
319,6,11,q,rqqqqqwflqqjqq,9,True
320,5,7,l,llllglll,7,False
321,6,14,r,rrkrrxrmrrrrrc,10,True
322,1,8,w,lrwpzvhhcwtbrwwpwww,7,True
323,3,13,b,kbjhskpbrwqpbcbbkb,6,True
324,6,9,d,ddddbddhdddddddddmg,15,False
325,14,15,n,nnnnnnnntnnnnhf,12,False
326,2,18,k,cgjpktthdbfxrclqwzpl,1,False
327,5,14,w,wwwwwbfwzwcwcwz,9,True
328,5,7,s,tfhssgrsnbssfl,5,False
329,1,18,l,wdkwkdlslbllllgzfm,6,True
330,1,17,h,jhhhhhhhhhhhthhhhh,16,True
331,7,13,w,wwvwwwwwrwwww,11,True
332,1,3,r,rgrdrx,3,False
333,9,11,t,dnxckkwpttv,2,False
334,2,12,c,cgqxrszcckcd,4,True
335,4,13,q,qkchpbqqtrtdztrq,4,False
336,2,9,d,ddddsddddd,9,False
337,9,19,p,pppppgppppqpppppppp,17,True
338,8,9,l,lllhlllll,8,False
339,7,8,h,hhhhhkhvwbhmh,8,False
340,11,12,w,wwwwwwwwwwwnwwww,15,False
341,2,3,d,jhcd,1,False
342,13,16,n,nnnnnnnnnnnnndnnmnn,17,False
343,6,7,d,dllpddkdd,5,False
344,6,7,n,nnnnnkp,5,False
345,7,14,v,vvbcvrvvkmvvsv,8,True
346,5,7,j,jjjjcjs,5,False
347,4,10,l,ldllllllll,9,True
348,4,5,x,rxxxx,4,False
349,15,16,q,qqqqqqqqqqqlqqqw,14,False
350,13,15,m,mmmmmmmmmbmmzmbm,13,False
351,7,10,k,skkkkkkkkq,8,True
352,9,15,m,mghxpjzqdhjcbmdl,2,False
353,2,4,t,ttsnwzbdj,2,False
354,6,7,s,hqtkgtr,0,False
355,3,4,n,twpknn,2,False
356,1,3,l,wrldlsdl,3,False
357,5,6,l,qlxncf,1,False
358,4,5,s,dvsxs,2,False
359,7,9,t,rktsrfwttttgwtzgft,7,False
360,1,3,l,flsf,1,False
361,6,10,c,cchczccccj,7,True
362,1,3,k,bktw,1,False
363,2,4,h,zdqxgrfkfhljhqhkgmfc,3,True
364,16,17,s,sssssssssssssssvs,16,False
365,4,8,p,plpfmnhsppnpwnx,5,True
366,5,10,k,kkkkknkqkk,8,True
367,4,11,s,nsqnssssvqsm,6,True
368,6,14,j,jjjzjwczkjjjxjjcjjxj,12,True
369,3,7,t,tnnbjjhtd,2,False
370,7,8,l,llllllll,8,False
371,4,11,z,cwsvrtszxrgh,1,False
372,2,11,x,sxcxxxjxrxkxdxx,9,True
373,11,15,m,mmxmbxmmdmmmmfmmfmm,13,True
374,10,13,l,tllllwzlzlrbllllhnp,10,False
375,5,6,k,kkkjkmkkkg,7,False
376,4,7,f,wqqfmffffkp,5,True
377,1,9,b,bbbbbmbbbbhbbdzbbtn,13,False
378,10,12,h,hhhhdwbhhqrhhhdnxhr,10,False
379,1,8,r,qfpnfrrrrz,4,True
380,16,20,b,bbbbbbbbbbbbbbbbbbbb,20,False
381,1,5,c,hwqccmwcctcnclcb,7,False
382,6,13,c,clccccqqcccjczpgj,9,True
383,13,14,j,jjjjjjjjjjjjjh,13,False
384,2,4,j,jkfp,1,False
385,2,7,d,qqxdcdjqg,2,False
386,5,6,r,prrrrd,4,False
387,7,8,l,llllllll,8,False
388,2,3,w,nwlm,1,False
389,9,12,v,vnknxncvgvrww,3,False
390,6,16,s,sjnwfsksnszcglxs,5,False
391,5,17,z,zzmkzzzzzntzjzbwpdjz,10,True
392,12,17,j,ljjjjjjhjjwtjjjjdjwj,14,True
393,8,10,s,dnnjlfkxls,1,False
394,2,6,m,jmmqmdkjm,4,True
395,9,11,m,mmmcmmmfsmmm,9,False
396,14,16,p,ppppptpppphrpxpppp,14,False
397,4,15,d,dfkfxdddldddddddlddp,13,True
398,12,14,q,qqqqqqqqqqqwwgq,12,False
399,1,6,g,tgggggmggggdg,10,False
400,10,18,w,wwwwwwwwwbwjwwwwwt,15,True
401,8,9,t,ttkttcttsrgrzlftpt,8,False
402,3,5,j,jjjjjjjjjjjjjl,13,False
403,17,18,c,ccccccczcccccccccs,16,False
404,4,9,d,hjddddddddm,8,True
405,2,4,x,lxjfp,1,False
406,11,12,v,vvvvvvvvvvjv,11,False
407,1,4,z,fmzblzvzm,3,True
408,4,5,h,hhshhh,5,False
409,3,6,t,ptvrtt,3,False
410,7,15,k,kkkjzkckgckskpkk,9,True
411,12,15,w,wwwwwwwwwwwftwdw,13,True
412,3,5,z,jrhns,0,False
413,5,6,n,pxmnzn,2,False
414,1,3,b,bbbkbbbbbbwb,10,False
415,1,10,r,rrjrqrrwrrrqv,8,True
416,11,12,w,wwwwwwwwwwwwwww,15,False
417,5,6,j,jsjjjp,4,False
418,6,11,h,lhbbvmhwrhh,4,False
419,18,19,q,qqqqqqqcxqqqqqqqqxwq,16,False
420,17,18,l,llllllllllllllllxql,17,False
421,3,4,j,jjljjn,4,False
422,8,10,z,zzzzwnzlzggz,7,False
423,6,7,t,tttttft,6,False
424,11,12,f,ffffffffffnf,11,False
425,2,8,b,hqbbbbbsbb,7,True
426,4,5,w,stljwbxpw,2,False
427,1,2,z,grxfpw,0,False
428,6,8,w,wwwwpwwxw,7,True
429,8,14,z,zqzzzzzvzzzzzzgz,13,True
430,4,11,b,cckgrcmbpvbbw,3,False
431,2,9,d,xqxbdddjds,4,True
432,3,6,x,xxrxxx,5,True
433,15,16,n,nnnnnnnnnnnnnndnn,16,False
434,6,11,x,lqmxxxsxxfxxxxlx,10,True
435,1,12,s,vssssshssmsk,8,True
436,1,16,m,bmgkkmwmmzvmmmmmwflv,9,True
437,3,15,t,thkvttsltnbgztt,6,True
438,9,17,z,zzzzzzzzzzzzzzzzzz,18,False
439,4,6,f,fjwfff,4,False
440,3,9,d,ddddddddd,9,False
441,6,10,k,kjkbkkckxkknqkkdc,9,True
442,6,7,n,nsnckwnmn,4,False
443,7,13,t,ptbtjqttwwtftpntdq,7,False
444,7,10,r,wrhhrrrrrwrrrrvqrms,11,False
445,2,3,c,zcrwhtccb,3,False
446,5,7,m,nnwmmdmmmccv,5,False
447,3,5,j,rtjjmjrjl,4,True
448,5,6,s,dssjhsdmbksrks,5,False
449,16,18,c,ccccclcccclccccccc,16,False
450,7,16,b,qpzgqxdbssmzptrv,1,False
451,6,8,b,bnsbbgdbggxbbszbm,7,True
452,1,10,h,lrpstqvhhhhf,4,True
453,4,6,s,tvssppwvss,4,False
454,3,4,g,qqqhcd,0,False
455,4,7,c,qxcqzccckxcpcxcw,7,False
456,1,13,m,nbwdmspmmwbbmm,5,True
457,1,2,j,xjrczrk,1,False
458,9,10,w,wwwwwwwwwd,9,False
459,2,4,h,hhhq,3,True
460,7,10,j,bjmrrjsjthjnnjjxjjd,8,True
461,3,7,f,srfwwfvf,3,False
462,3,4,b,nbbzb,3,False
463,3,5,n,nnnnn,5,False
464,7,8,f,fxfnfffzpqffgdf,8,False
465,10,12,k,kkpkkkpnkkmkjbkk,10,False
466,9,10,k,jkkkkkkkwqk,8,False
467,4,6,z,rzzzzs,4,False
468,4,7,v,vvvtvvjq,5,True
469,6,12,z,dzjnzczzpzgzzzx,8,True
470,6,8,s,smsvbkswslssrdfjsc,7,True
471,5,7,b,bwbbbbbbr,7,False
472,1,3,d,kddbsmmbv,2,True
473,3,4,b,bbbb,4,False
474,5,8,r,rqrrdrrr,6,True
475,7,8,m,mmmmmmzm,7,False
476,9,11,q,xvnlfvhxqfql,2,False
477,3,4,w,wfwj,2,False
478,1,3,q,gqqcqg,3,False
479,1,2,q,cqlxrq,2,False
480,6,12,s,swwjjssjsstmqfssdh,7,True
481,2,4,q,bqqq,3,True
482,5,6,c,ccccbscgfc,6,False
483,14,15,x,xxcxxxxxxxxxxxm,13,False
484,6,12,f,fzfchfnrxfrdffhfl,7,True
485,14,17,g,gggggggggggggjgpgg,16,True
486,5,8,n,njkcngznn,4,False
487,10,13,d,dddlqddddvddr,9,False
488,2,4,c,xgcg,1,False
489,2,10,s,sxsnsdmszwmsss,7,True
490,6,12,q,qbcqspqqqkqrq,7,True
491,6,16,n,xnnnnnnnnnnnnnnfnnn,17,False
492,6,12,s,tssnssmsssssssssnhr,13,False
493,1,4,v,vwvvv,4,False
494,8,10,h,rzmhhjvqhht,4,False
495,1,4,t,ttjdjftfctt,5,False
496,1,4,k,nkkz,2,True
497,1,2,q,vkvqkqq,3,False
498,9,19,n,qxmjqxnxnblqnnqfgsrd,4,False
499,15,16,h,hhhhhhhhhhhhhhghz,15,False
500,2,5,g,jggpxdgwjpsrv,3,True
501,12,13,c,xccccpccrcccc,10,False
502,1,13,g,nfgbghqrljstggcgq,5,True
503,14,17,g,gggggggggggggmggggg,18,False
504,4,14,s,sssbsssssssssgs,13,True
505,1,10,d,rcxvxcgddnhwd,3,True
506,4,14,g,vccvdldqdgzltq,1,False
507,8,10,z,zzdczzvrzzzzr,8,False
508,5,10,t,ctgtttftqtrbt,7,True
509,3,5,v,vvrvx,3,False
510,9,10,w,wwwwwwwwwwwww,13,False
511,4,6,c,hgccmcccc,6,False
512,16,18,s,ssssssssssstssscsh,15,False
513,2,7,z,zzflfrtdx,2,False
514,4,10,v,vvlsvvvvkrc,6,True
515,10,16,d,ddddwddddbdgdddwd,13,True
516,3,4,v,gkbqbtrv,1,False
517,3,4,h,cjdqvwhhththvx,4,False
518,3,5,b,bbbkbrb,5,False
519,3,5,m,ptkqdgsmbcmmblwp,3,False
520,4,17,q,mlqqgsqqqfqkcqqxqq,10,True
521,6,17,m,mdvqvmmxlmzmvmmdm,8,True
522,1,3,r,hrrtrrrrrrrrrwlr,12,False
523,3,5,j,jjjjhj,5,False
524,11,12,q,dqpqqqqqqnzlqq,9,False
525,8,11,d,dddnddnddtdddd,11,False
526,3,16,d,dpddxtlqsqldrpddq,6,True
527,7,13,z,szhzmmzzzzmzzzz,10,True
528,6,18,h,mkxxqtbnnjgnvxnhhhc,3,False
529,4,5,n,nknfrhpn,3,False
530,16,17,d,dddddddgdddddddddd,17,False
531,14,16,w,wwwwwwwwwwwwwwwww,17,False
532,2,3,t,rttfdstqpdtg,4,False
533,3,4,s,gghrfxbfshqssj,3,False
534,1,9,j,bjjjjjjjhjjj,10,False
535,1,2,p,xmpgppppppp,8,False
536,9,14,k,vqpxrkmskfpnxq,2,False
537,1,5,x,xxxxx,5,False
538,1,14,p,bsxnwvpkphdppphpkwp,7,True
539,5,12,d,xdddmzddfddc,7,True
540,9,10,v,gvvvvvgvhnvw,7,False
541,2,7,x,xxxxxwgsvmqnkxv,6,True
542,3,15,c,ccscccccwccccccc,14,True
543,5,8,w,nsvgwzdf,1,False
544,7,14,w,wwwwwwwwwwwfwswcw,14,False
545,5,10,r,qrrlwcrrwz,4,False
546,7,12,f,hfnphfpjffstff,6,False
547,2,6,h,hqjhmph,3,True
548,3,13,x,cpxxxzcrbjxxxb,6,True
549,4,8,k,kkkkktkkkkfkf,10,False
550,7,10,g,gggghghsgwf,6,False
551,8,9,s,sswswssggss,7,False
552,6,10,l,qlllljllhlll,9,True
553,8,11,c,cccwccrbcbccc,9,True
554,5,6,x,xxxxxxg,6,False
555,1,3,w,cwpww,3,False
556,8,11,v,vvvvvvvvvwvv,11,False
557,1,2,b,bbgl,2,False
558,7,10,b,zbkbcbbbsbb,7,False
559,13,15,t,tttttgtttttttktttt,16,False
560,12,14,x,xxxxxxxxxxxxxqf,13,True
561,6,7,k,kmrkkwmk,4,False
562,4,5,m,mmxjmdrhzkmxxphjmz,5,False
563,2,3,t,tnvtndw,2,False
564,4,5,x,xxtxxtxzf,5,False
565,1,3,m,nwmglfscmwrjtzp,2,True
566,10,11,c,cnccckcckcwdc,8,False
567,14,19,b,tvbmrqtchwblbqbbqbb,7,False
568,9,10,x,fxxxxxxxjxx,9,False
569,4,5,g,gggggkggx,7,False
570,8,12,k,kkkkkfkpkqkwkkk,11,True
571,2,6,v,chpvkvt,2,False
572,4,10,r,rmbjmcrgrrfrtmblhw,5,True
573,4,6,n,rnnwtn,3,False
574,3,10,v,htclcjhjkdv,1,False
575,10,13,w,wwwhhwwwrwwzww,10,False
576,18,20,w,wwwwwwjwwwwwwwwvwtww,17,False
577,7,8,w,phrwbwwmc,3,False
578,16,17,q,qqqqqqqqqqqqqqqqx,16,False
579,2,5,k,kzknsxkkgtvmwlfrmrg,4,True
580,3,4,b,zbbbb,4,False
581,5,8,v,hfclvvpc,2,False
582,3,15,t,ctfthpmgznjnhgtth,4,True
583,1,6,t,httttq,4,True
584,5,6,w,wwxhgww,4,False
585,3,5,m,fmtnmmm,4,True
586,11,17,n,xnnchnzpsmcslvzcn,4,False
587,5,6,m,mmmmcm,5,False
588,1,7,r,rwsgcgvjmtxwkqtr,2,True
589,6,16,m,mmmmmmmmmmmqmmmmmm,17,False
